Year,Search_Topic_ID,Search_Topic,KW,TI,TS
2007,7,ILs in Electrochemistry,0,0,698
2007,8,ILs in Electrochemical Manufacturing,0,0,272
2007,9,Elevated-T IL Electrochemical Manufacturing,0,0,21
2008,0,Electrochemistry,9677,4928,26359
2008,1,Electrochemical Manufacturing,1336,613,10495
2008,2,Temperature in Electrochemistry,644,126,6491
2008,3,Temperature in Electrochemical Manufacturing,126,19,3470
2008,4,Elevated-Temperature in Electrochemistry,105,25,1195
2008,5,Elevated-Temperature Electrochemical Manufacturing,8,3,829
2008,6,Ionic Liquids (All),0,0,5559
2008,7,ILs in Electrochemistry,0,0,835
2008,8,ILs in Electrochemical Manufacturing,0,0,336
2008,9,Elevated-T IL Electrochemical Manufacturing,0,0,21
2009,0,Electrochemistry,11019,5363,28553
2009,1,Electrochemical Manufacturing,1616,651,11774
2009,2,Temperature in Electrochemistry,769,122,7217
2009,3,Temperature in Electrochemical Manufacturing,135,17,3977
2009,4,Elevated-Temperature in Electrochemistry,146,34,1342
2009,5,Elevated-Temperature Electrochemical Manufacturing,13,2,939
2009,6,Ionic Liquids (All),0,0,6288
2009,7,ILs in Electrochemistry,0,0,1058
2009,8,ILs in Electrochemical Manufacturing,0,0,430
2009,9,Elevated-T IL Electrochemical Manufacturing,0,0,20
2010,0,Electrochemistry,12218,5845,30477
2010,1,Electrochemical Manufacturing,1720,716,12619
2010,2,Temperature in Electrochemistry,873,117,7573
2010,3,Temperature in Electrochemical Manufacturing,146,14,4207
2010,4,Elevated-Temperature in Electrochemistry,143,30,1436
2010,5,Elevated-Temperature Electrochemical Manufacturing,15,1,1005
2010,6,Ionic Liquids (All),0,0,6974
2010,7,ILs in Electrochemistry,0,0,1148
2010,8,ILs in Electrochemical Manufacturing,0,0,463
2010,9,Elevated-T IL Electrochemical Manufacturing,0,0,27
2011,0,Electrochemistry,13754,6739,35365
2011,1,Electrochemical Manufacturing,1986,822,15544
2011,2,Temperature in Electrochemistry,957,137,9114
2011,3,Temperature in Electrochemical Manufacturing,171,11,5228
2011,4,Elevated-Temperature in Electrochemistry,175,42,1688
2011,5,Elevated-Temperature Electrochemical Manufacturing,18,2,1164
2011,6,Ionic Liquids (All),0,0,7736
2011,7,ILs in Electrochemistry,0,0,1243
2011,8,ILs in Electrochemical Manufacturing,0,0,518
2011,9,Elevated-T IL Electrochemical Manufacturing,0,0,27
2012,0,Electrochemistry,14949,7368,37968
2012,1,Electrochemical Manufacturing,2337,965,17505
2012,2,Temperature in Electrochemistry,1066,165,9800
2012,3,Temperature in Electrochemical Manufacturing,197,20,5845
2012,4,Elevated-Temperature in Electrochemistry,196,51,1679
2012,5,Elevated-Temperature Electrochemical Manufacturing,17,4,1210
2012,6,Ionic Liquids (All),0,0,8756
2012,7,ILs in Electrochemistry,0,0,1499
2012,8,ILs in Electrochemical Manufacturing,0,0,651
2012,9,Elevated-T IL Electrochemical Manufacturing,0,0,35
2013,0,Electrochemistry,17362,8416,43905
2013,1,Electrochemical Manufacturing,2909,1121,21254
2013,2,Temperature in Electrochemistry,1190,167,11045
2013,3,Temperature in Electrochemical Manufacturing,217,15,6779
2013,4,Elevated-Temperature in Electrochemistry,240,50,2013
2013,5,Elevated-Temperature Electrochemical Manufacturing,26,3,1468
2013,6,Ionic Liquids (All),0,0,9430
2013,7,ILs in Electrochemistry,0,0,1735
2013,8,ILs in Electrochemical Manufacturing,0,0,805
2013,9,Elevated-T IL Electrochemical Manufacturing,0,0,39
2014,0,Electrochemistry,19445,9125,47408
2014,1,Electrochemical Manufacturing,3445,1169,23772
2014,2,Temperature in Electrochemistry,1344,180,11946
2014,3,Temperature in Electrochemical Manufacturing,277,33,7562
2014,4,Elevated-Temperature in Electrochemistry,244,44,2058
2014,5,Elevated-Temperature Electrochemical Manufacturing,35,7,1464
2014,6,Ionic Liquids (All),0,0,10472
2014,7,ILs in Electrochemistry,0,0,1974
2014,8,ILs in Electrochemical Manufacturing,0,0,1011
2014,9,Elevated-T IL Electrochemical Manufacturing,0,0,55
2015,0,Electrochemistry,21392,9699,49776
2015,1,Electrochemical Manufacturing,3991,1271,24482
2015,2,Temperature in Electrochemistry,1363,163,11914
2015,3,Temperature in Electrochemical Manufacturing,301,22,7470
2015,4,Elevated-Temperature in Electrochemistry,253,44,1992
2015,5,Elevated-Temperature Electrochemical Manufacturing,29,1,1330
2015,6,Ionic Liquids (All),0,0,10676
2015,7,ILs in Electrochemistry,0,0,1898
2015,8,ILs in Electrochemical Manufacturing,0,0,888
2015,9,Elevated-T IL Electrochemical Manufacturing,0,0,36
2016,0,Electrochemistry,23366,10584,54071
2016,1,Electrochemical Manufacturing,4052,1198,27339
2016,2,Temperature in Electrochemistry,1446,169,13266
2016,3,Temperature in Electrochemical Manufacturing,266,14,8445
2016,4,Elevated-Temperature in Electrochemistry,284,55,2224
2016,5,Elevated-Temperature Electrochemical Manufacturing,29,3,1483
2016,6,Ionic Liquids (All),0,0,11498
2016,7,ILs in Electrochemistry,0,0,2217
2016,8,ILs in Electrochemical Manufacturing,0,0,1124
2016,9,Elevated-T IL Electrochemical Manufacturing,0,0,51
2017,0,Electrochemistry,25673,11490,61885
2017,1,Electrochemical Manufacturing,4730,1357,33976
2017,2,Temperature in Electrochemistry,1613,231,16191
2017,3,Temperature in Electrochemical Manufacturing,377,39,11009
2017,4,Elevated-Temperature in Electrochemistry,290,60,2847
2017,5,Elevated-Temperature Electrochemical Manufacturing,50,3,1995
2017,6,Ionic Liquids (All),0,0,12003
2017,7,ILs in Electrochemistry,0,0,2516
2017,8,ILs in Electrochemical Manufacturing,0,0,1405
2017,9,Elevated-T IL Electrochemical Manufacturing,0,0,62
2018,0,Electrochemistry,27798,12393,67652
2018,1,Electrochemical Manufacturing,4978,1272,36569
2018,2,Temperature in Electrochemistry,1673,194,17167
2018,3,Temperature in Electrochemical Manufacturing,359,35,11392
2018,4,Elevated-Temperature in Electrochemistry,285,56,2684
2018,5,Elevated-Temperature Electrochemical Manufacturing,41,8,1787
2018,6,Ionic Liquids (All),0,0,12584
2018,7,ILs in Electrochemistry,0,0,2718
2018,8,ILs in Electrochemical Manufacturing,0,0,1479
2018,9,Elevated-T IL Electrochemical Manufacturing,0,0,79
2019,0,Electrochemistry,31531,13817,80462
2019,1,Electrochemical Manufacturing,5321,1347,45603
2019,2,Temperature in Electrochemistry,1716,205,20877
2019,3,Temperature in Electrochemical Manufacturing,377,31,14329
2019,4,Elevated-Temperature in Electrochemistry,273,45,3211
2019,5,Elevated-Temperature Electrochemical Manufacturing,28,1,2119
2019,6,Ionic Liquids (All),0,0,13280
2019,7,ILs in Electrochemistry,0,0,3055
2019,8,ILs in Electrochemical Manufacturing,0,0,1840
2019,9,Elevated-T IL Electrochemical Manufacturing,0,0,83
2020,0,Electrochemistry,34038,14899,83309
2020,1,Electrochemical Manufacturing,5522,1472,46846
2020,2,Temperature in Electrochemistry,1926,190,21094
2020,3,Temperature in Electrochemical Manufacturing,365,23,14315
2020,4,Elevated-Temperature in Electrochemistry,303,42,3278
2020,5,Elevated-Temperature Electrochemical Manufacturing,32,4,2154
2020,6,Ionic Liquids (All),0,0,13708
2020,7,ILs in Electrochemistry,0,0,3202
2020,8,ILs in Electrochemical Manufacturing,0,0,1952
2020,9,Elevated-T IL Electrochemical Manufacturing,0,0,99
2021,0,Electrochemistry,36195,15696,89271
2021,1,Electrochemical Manufacturing,5130,1438,47270
2021,2,Temperature in Electrochemistry,1751,243,20866
2021,3,Temperature in Electrochemical Manufacturing,317,29,13429
2021,4,Elevated-Temperature in Electrochemistry,292,53,3452
2021,5,Elevated-Temperature Electrochemical Manufacturing,36,9,2083
2021,6,Ionic Liquids (All),0,0,13292
2021,7,ILs in Electrochemistry,0,0,2986
2021,8,ILs in Electrochemical Manufacturing,0,0,1719
2021,9,Elevated-T IL Electrochemical Manufacturing,0,0,77
2022,0,Electrochemistry,38051,17177,102429
2022,1,Electrochemical Manufacturing,5332,1492,61706
2022,2,Temperature in Electrochemistry,1885,262,26771
2022,3,Temperature in Electrochemical Manufacturing,297,20,19457
2022,4,Elevated-Temperature in Electrochemistry,274,64,4262
2022,5,Elevated-Temperature Electrochemical Manufacturing,27,2,2806
2022,6,Ionic Liquids (All),0,0,13768
2022,7,ILs in Electrochemistry,0,0,3435
2022,8,ILs in Electrochemical Manufacturing,0,0,2259
2022,9,Elevated-T IL Electrochemical Manufacturing,0,0,131
2023,0,Electrochemistry,37274,17143,104642
2023,1,Electrochemical Manufacturing,5031,1474,65201
2023,2,Temperature in Electrochemistry,1826,276,27590
2023,3,Temperature in Electrochemical Manufacturing,316,31,20742
2023,4,Elevated-Temperature in Electrochemistry,284,67,4453
2023,5,Elevated-Temperature Electrochemical Manufacturing,32,4,3050
2023,6,Ionic Liquids (All),0,0,13335
2023,7,ILs in Electrochemistry,0,0,3341
2023,8,ILs in Electrochemical Manufacturing,0,0,2336
2023,9,Elevated-T IL Electrochemical Manufacturing,0,0,100
2024,0,Electrochemistry,39105,18856,112755
2024,1,Electrochemical Manufacturing,5244,1657,68398
2024,2,Temperature in Electrochemistry,1925,275,28831
2024,3,Temperature in Electrochemical Manufacturing,282,25,20838
2024,4,Elevated-Temperature in Electrochemistry,314,58,4807
2024,5,Elevated-Temperature Electrochemical Manufacturing,31,2,3177
2024,6,Ionic Liquids (All),0,0,13523
2024,7,ILs in Electrochemistry,0,0,3324
2024,8,ILs in Electrochemical Manufacturing,0,0,2279
2024,9,Elevated-T IL Electrochemical Manufacturing,0,0,120
2025,0,Electrochemistry,25061,13629,53964
2025,1,Electrochemical Manufacturing,3587,1174,20211
2025,2,Temperature in Electrochemistry,1327,194,9725
2025,3,Temperature in Electrochemical Manufacturing,194,25,4031
2025,4,Elevated-Temperature in Electrochemistry,242,44,2038
2025,5,Elevated-Temperature Electrochemical Manufacturing,23,5,768
2025,6,Ionic Liquids (All),0,0,6825
2025,7,ILs in Electrochemistry,0,0,1305
2025,8,ILs in Electrochemical Manufacturing,0,0,507
2025,9,Elevated-T IL Electrochemical Manufacturing,0,0,16
2026,0,Electrochemistry,128,73,104
2026,1,Electrochemical Manufacturing,23,6,37
2026,2,Temperature in Electrochemistry,10,1,19
2026,3,Temperature in Electrochemical Manufacturing,1,0,7
2026,4,Elevated-Temperature in Electrochemistry,2,1,7
2026,5,Elevated-Temperature Electrochemical Manufacturing,0,0,2
2026,6,Ionic Liquids (All),0,0,5
2027,0,Electrochemistry,0,0,1
